	GC-pop-S1_0	GC-pop-S2_0	GC-pop-S3_0	invitro-pop-S1_0	invitro-pop-S2_0	invitro-pop-S3_0	invivo-pop-S1_0	invivo-pop-S2_0	invivo-pop-S3_0	NAIVE-pop-S1_0	NAIVE-pop-S2_0	NAIVE-pop-S3_0
C2orf69	2.66209841614383	2.92116513511901	1.63777263072262	1.77426711732946	1.26851705604071	2.62563333242514	2.1970718423639	1.63777263072262	1.24603739843614	1.24603739843614	2.81270449176716	1.26851705604071
C1orf189	1.2539361300827	1.24603739843614	1.91201534883867	1.77426711732946	2.94915634846485	1.77426711732946	3.99440750800946	1.63777263072262	2.50937811950592	1.24603739843614	2.02594977329521	1.26851705604071
C14orf119	4.22342148922026	3.96200643454741	3.86661459989005	5.11811381508136	4.31786018273816	4.67189649942479	4.18311603037474	5.2577803050281	3.569662681857	4.03004519446675	3.42524560316009	3.77478526812145
C11orf48	5.50528540394256	4.98903809670602	4.98230534998533	5.06441198224821	5.11811381508136	5.53304303098913	5.57561933986505	5.81889644580772	5.48912425595225	4.70521225441586	4.12801848819083	4.28157977010661
C4orf52	5.50528540394256	6.12134100403342	5.35131023227335	5.98101858048314	6.0860427685311	5.8310899650285	5.97871988684277	6.06610414900549	6.05811072834014	5.62779880484707	5.13297535354728	5.35131023227335
C16orf72	2.66209841614383	3.65350038922451	4.09366416200493	3.43277424255358	3.71350172066785	2.62563333242514	2.87732634409022	3.569662681857	3.569662681857	4.03004519446675	4.54192215814795	3.23066372635374
C19orf52	4.3869467568085	4.18311603037474	4.44915450801528	3.60299213262624	2.78715030080066	2.87732634409022	2.87732634409022	2.92116513511901	3.569662681857	4.03004519446675	4.33508570937228	4.28157977010661
CXorf38	3.54293875607366	4.18311603037474	3.569662681857	4.01723976951091	3.42524560316009	1.77426711732946	1.30831046809148	3.569662681857	4.59320231146583	3.69154798370386	4.03004519446675	4.3991721489758
C4orf3	5.16185621609184	5.40127969200807	4.92690439715336	5.45633343252006	5.97256268115818	5.70000976748524	6.1575112085747	6.67601131731429	6.13245845043069	5.1711999523695	3.91204480073569	5.47553446654173
C21orf2	1.65831974556078	2.66209841614383	1.26851705604071	1.54463786572586	1.26851705604071	2.87732634409022	2.1970718423639	2.92116513511901	1.63777263072262	2.30295402866753	1.24603739843614	1.26851705604071
C17orf89	4.06368001260598	4.05848791108005	3.733475675834	3.87225496903037	3.86661459989005	3.87225496903037	4.46588262494982	3.569662681857	4.48306412813638	3.20965001532237	3.91204480073569	4.3991721489758
C11orf24	2.17374472129307	2.17374472129307	1.24603739843614	1.54463786572586	1.26851705604071	1.77426711732946	2.1970718423639	1.63777263072262	1.24603739843614	1.65831974556078	2.02594977329521	1.73705713687184
PL-5283	3.36572086025867	2.66209841614383	3.64000070958517	3.569662681857	3.18118094493278	2.87732634409022	4.76307243570507	2.92116513511901	4.1355317093577	4.3991721489758	3.72869711091662	3.77478526812145
C10orf32	3.11152031972586	4.05848791108005	2.87732634409022	4.01723976951091	3.86661459989005	3.87225496903037	4.18311603037474	1.63777263072262	2.50937811950592	2.87732634409022	2.81270449176716	2.90037817646403
KIAA1751	2.92116513511901	2.17374472129307	1.24603739843614	1.24603739843614	2.78715030080066	1.26851705604071	3.77478526812145	3.569662681857	2.13860365812969	1.30831046809148	1.58928020130354	1.73705713687184
C14orf2	5.90300143063743	5.98032200772684	5.78049202804886	6.78751402618807	6.78407080451791	6.62840783546726	6.05766566999006	6.29039888328752	5.80835902811028	5.30086780948943	5.74358947493367	6.33981158633619
C9orf3	1.2539361300827	2.66209841614383	1.63777263072262	1.77426711732946	2.30295402866753	3.02431903998484	1.30831046809148	1.63777263072262	2.13860365812969	2.71278319460055	1.58928020130354	2.17374472129307
LOC550643	1.65831974556078	2.66209841614383	1.63777263072262	1.77426711732946	1.91201534883867	2.1970718423639	2.1970718423639	1.63777263072262	1.24603739843614	2.13860365812969	2.02594977329521	1.26851705604071
C9orf64	3.96444687691946	4.86394754389259	4.52922629613562	4.26235072987991	3.86661459989005	4.31786018273816	5.01094347228796	4.52922629613562	5.31929452764972	4.57362479141128	4.03004519446675	5.14045307911431
C12orf43	3.11152031972586	3.11152031972586	2.93408650389528	4.18311603037474	4.10274259159467	4.31786018273816	3.20965001532237	3.569662681857	2.87732634409022	3.07266254103253	2.94915634846485	3.48759949433808
C11orf30	3.36572086025867	3.65350038922451	3.48759949433808	4.18311603037474	3.569662681857	4.00041077658292	3.77478526812145	1.63777263072262	2.50937811950592	3.57396168543846	2.94915634846485	3.59620392835603
C6orf70	3.11152031972586	3.54293875607366	1.63777263072262	1.24603739843614	1.26851705604071	1.77426711732946	2.1970718423639	2.92116513511901	2.13860365812969	1.65831974556078	1.58928020130354	1.73705713687184
C19orf77	1.65831974556078	1.24603739843614	1.24603739843614	3.60299213262624	4.43381406533268	4.09366416200493	1.30831046809148	2.92116513511901	1.24603739843614	1.30831046809148	1.24603739843614	1.26851705604071
C15orf61	1.65831974556078	1.24603739843614	1.24603739843614	1.54463786572586	1.91201534883867	1.77426711732946	1.30831046809148	1.63777263072262	2.50937811950592	2.30295402866753	2.30295402866753	3.23066372635374
C17orf70	2.66209841614383	2.66209841614383	3.07266254103253	1.24603739843614	2.30295402866753	2.1970718423639	2.1970718423639	3.99440750800946	3.20965001532237	4.09366416200493	4.03004519446675	4.03004519446675
KIAA0146	3.54293875607366	2.92116513511901	3.36572086025867	2.92116513511901	3.42524560316009	4.31786018273816	3.20965001532237	1.63777263072262	4.03850990482812	2.87732634409022	3.42524560316009	3.07266254103253
C16orf88	3.36572086025867	2.92116513511901	3.64000070958517	4.70521225441586	3.42524560316009	4.09366416200493	4.18311603037474	1.63777263072262	4.59320231146583	4.09366416200493	3.91204480073569	3.59620392835603
C1orf53	2.66209841614383	2.66209841614383	1.91201534883867	2.71278319460055	1.26851705604071	2.1970718423639	2.87732634409022	2.92116513511901	2.13860365812969	1.30831046809148	1.58928020130354	1.26851705604071
C3orf43	4.22342148922026	4.18311603037474	3.64000070958517	5.2577803050281	5.45868739131777	5.21540427516798	4.76307243570507	5.14045307911431	4.99555713372918	2.13860365812969	3.18118094493278	3.77478526812145
C19orf25	4.76307243570507	4.32793657710652	4.4975434145389	4.26235072987991	5.11811381508136	4.50830761708455	4.31545689652382	4.71706564544672	3.94907140726129	5.01670912714153	4.26235072987991	4.85823059325894
LOC100506612	1.65831974556078	1.24603739843614	1.26851705604071	3.43277424255358	2.30295402866753	1.26851705604071	1.30831046809148	1.63777263072262	1.24603739843614	1.30831046809148	1.24603739843614	1.73705713687184
C19orf47	2.92116513511901	1.65831974556078	2.37457388479925	2.13860365812969	1.91201534883867	2.1970718423639	1.30831046809148	1.63777263072262	2.13860365812969	2.71278319460055	2.02594977329521	2.90037817646403
C1orf198	1.2539361300827	1.65831974556078	1.24603739843614	1.54463786572586	1.26851705604071	2.62563333242514	1.30831046809148	1.63777263072262	2.13860365812969	2.13860365812969	1.58928020130354	2.90037817646403
C1orf35	2.92116513511901	3.34927846106101	2.71278319460055	3.71350172066785	3.71350172066785	4.00041077658292	2.1970718423639	2.92116513511901	3.00747200955627	2.93408650389528	2.02594977329521	1.73705713687184
KIAA1468	2.92116513511901	3.54293875607366	3.569662681857	3.87225496903037	4.31786018273816	3.59620392835603	1.30831046809148	2.92116513511901	2.50937811950592	4.19875578152118	4.03004519446675	4.3991721489758
C19orf43	3.11152031972586	2.66209841614383	2.71278319460055	4.07910366352117	3.569662681857	3.733475675834	3.20965001532237	1.63777263072262	3.20965001532237	2.93408650389528	3.57396168543846	3.48759949433808
C6orf226	2.17374472129307	2.17374472129307	1.26851705604071	2.30295402866753	3.71350172066785	3.23066372635374	3.569662681857	3.569662681857	3.42524560316009	2.93408650389528	2.94915634846485	2.50937811950592
KIAA1737	3.86661459989005	4.05848791108005	3.733475675834	2.92116513511901	2.30295402866753	2.62563333242514	2.1970718423639	4.52922629613562	3.00747200955627	4.3991721489758	3.57396168543846	4.50830761708455
MEF2BNB	5.41386025907638	5.35131023227335	4.98230534998533	5.52959973596793	5.35131023227335	5.02683039046504	4.76307243570507	4.71706564544672	4.24332295556295	4.98903809670602	4.54192215814795	4.85823059325894
C17orf59	2.17374472129307	1.24603739843614	1.24603739843614	2.92116513511901	2.30295402866753	2.1970718423639	1.30831046809148	1.63777263072262	2.13860365812969	2.13860365812969	1.58928020130354	2.17374472129307
C10orf88	2.66209841614383	2.92116513511901	3.07266254103253	1.54463786572586	2.78715030080066	1.26851705604071	2.1970718423639	1.63777263072262	2.50937811950592	2.13860365812969	2.30295402866753	1.73705713687184
C6orf136	2.17374472129307	2.17374472129307	1.63777263072262	2.13860365812969	2.78715030080066	2.1970718423639	2.1970718423639	2.92116513511901	1.63777263072262	1.91201534883867	2.30295402866753	2.90037817646403
KIAA0195	2.17374472129307	2.66209841614383	1.91201534883867	2.71278319460055	2.94915634846485	3.23066372635374	2.87732634409022	1.63777263072262	2.50937811950592	4.03004519446675	3.91204480073569	4.03004519446675
C19orf48	3.36572086025867	3.54293875607366	3.93025662458545	1.77426711732946	2.78715030080066	3.48759949433808	3.569662681857	3.569662681857	3.69154798370386	3.7626281872205	3.72869711091662	4.03004519446675
